zip,irs_returns,irs_pop,irs_income,statefips,state,irs_mean_hh_income,irs_ui_pct,irs_pct_with_Kinc,irs_avg_K_income,irs_K_inc_reliance,irs_pct_with_LLCinc,irs_LLC_inc_reliance,irs_avg_mort,irs_mort_inc_ratio,irs_SSI_reliance,irs_EITC_pct,irs_avg_AGI,irs_mean_ind_income
01001,8880,15210,494972,25,"MA",55740.09,.0743243,.1475225,784.7973,.0140796,.0371622,.0185505,1709.572,.0306704,.0332281,.1148649,55060.36,32542.54
01002,9640,16540,802824,25,"MA",83280.5,.0352697,.3122407,8071.162,.0969154,.0705394,.0444917,1931.846,.0231969,.0285617,.1120332,81428.52,48538.33
01005,2280,4220,133441,25,"MA",58526.75,.0964912,.1535088,1142.544,.0195217,.0350877,.0117205,2156.14,.0368403,.0276602,.1008772,57817.11,31621.09
01007,7390,14000,513575,25,"MA",69495.94,.0649526,.173207,1812.855,.0260858,.0514208,.0373207,2679.702,.0385591,.0207311,.0920162,68510.96,36683.93
01008,640,1190,40175,25,"MA",62773.44,.09375,.171875,2020.313,.0321842,.03125,.0023647,2371.875,.0377847,.0327816,.109375,62093.75,33760.5
01010,1840,3500,128916,25,"MA",70063.05,.0869565,.173913,1288.587,.0183918,.0543478,.0270331,2722.826,.0388625,.0271882,.0978261,69163.59,36833.14
01011,610,1070,31224,25,"MA",51186.89,.0819672,.0819672,52.45901,.0010249,0,0,1539.344,.030073,.0285037,.1311475,50734.43,29181.31
01012,370,620,22684,25,"MA",61308.11,.1081081,.1621622,497.2973,.0081114,.0540541,.0146359,2132.432,.0347822,.0324458,.1081081,60602.7,36587.1
01013,10420,18710,415570,25,"MA",39881.96,.0892514,.0671785,416.7946,.0104507,.0143954,.0069471,879.0787,.022042,.0255144,.2466411,39570.25,22211.12
01020,15020,25900,697760,25,"MA",46455.39,.0825566,.0892144,403.462,.0086849,.017976,.0097885,1232.49,.0265306,.0312959,.1611185,46054.46,26940.54
01022,1180,1810,53788,25,"MA",45583.05,.0508475,.1186441,494.0678,.0108388,0,0,1101.695,.024169,.0394698,.0932203,45206.78,29717.13
01026,490,870,26068,25,"MA",53200,.0816327,.2040816,1695.918,.0318782,.0408163,-.0020331,1481.633,.0278502,.0395504,.1428571,51936.73,29963.22
01027,9630,16210,545754,25,"MA",56672.27,.0674974,.1692627,1797.715,.0317213,.0373832,.0235454,1718.899,.0303305,.0311899,.1100727,55810.8,33667.73
01028,8040,15300,684936,25,"MA",85191.05,.0559702,.2450249,2966.293,.0348193,.0733831,.0509493,2767.289,.0324833,.0291677,.0758706,83618.16,44767.06
01030,6060,11110,375779,25,"MA",62009.73,.0742574,.1551155,1056.931,.0170446,.0346535,.0162436,2149.01,.034656,.029983,.1039604,61303.8,33823.49
01031,550,1000,24614,25,"MA",44752.73,.1090909,.0727273,223.6364,.0049972,0,0,1030.909,.0230357,.0323799,.1636364,44398.18,24614
01032,280,480,13865,25,"MA",49517.86,.0714286,.1428571,114.2857,.002308,0,0,1510.714,.0305085,.0379373,.1071429,48860.71,28885.42
01033,3280,5970,206037,25,"MA",62816.16,.0884146,.1493903,1306.707,.0208021,.0518293,.0242869,2196.342,.0349646,.0279756,.0884146,61893.9,34512.06
01034,1020,1900,68931,25,"MA",67579.41,.0784314,.1960784,1706.863,.0252571,.0490196,.0274768,2510.784,.0371531,.0321626,.0882353,66726.47,36279.47
01035,2730,4570,174791,25,"MA",64026.01,.0549451,.2564103,2848.352,.0444874,.0659341,.0296297,1939.56,.0302933,.0292349,.0915751,62879.85,38247.48
01036,2640,4880,217828,25,"MA",82510.61,.0643939,.2045455,2401.515,.0291055,.0719697,.0630038,2834.848,.0343574,.0326772,.0757576,81187.88,44636.89
