zip,pct_dis,pct_dis_pop18_64,pct_dis_pop65over,age_adj_dis18_64,age2_adj_dis18_64
501,8.7,8.3,23.3,-.1075575,1.716989
544,8.7,8.3,23.3,-.1075575,1.716989
601,20,20.1,44.8,9.22109,9.531433
602,26.9,25,70.2,14.53656,13.95099
603,23.8,21,57.3,10.07351,9.107986
604,23.8,21,57.3,10.07351,9.107986
605,23.8,21,57.3,10.07351,9.107986
606,10.2,9.2,28.2,-1.576345,-1.337553
610,18.1,14.3,43.3,4.135866,3.317888
611,18.3,15.9,43.5,4.770555,4.157014
612,14.9,11.1,39.1,.3822018,-.6694111
613,14.9,11.1,39.1,.3822018,-.6694111
614,14.9,11.1,39.1,.3822018,-.6694111
616,13.8,11.1,32.6,1.398998,.3515011
617,33.6,33.7,69.5,23.52141,21.15314
622,17.4,16,32.4,4.704386,1.79801
623,16.5,11.7,42.7,2.339698,.505994
624,16.9,14.4,50.3,3.919295,1.698421
627,18,16,45.6,5.815707,4.782046
631,19.7,11.3,56.7,-1.393577,-4.06662
636,23.2,18,50.9,6.423027,4.670409
637,26.5,24.2,58.5,13.33445,11.59895
638,13.6,12.9,31.8,1.877026,-.0533052
641,18.3,15.9,43.5,4.770555,4.157014
646,16.3,14.4,45.8,4.869421,4.343162
647,32.7,27,65.7,14.33897,11.98232
650,25.2,25.5,54.9,15.3225,14.28881
652,13.6,10.4,40.4,1.208866,-2.051766
653,26.7,27.1,53.6,15.70849,15.21161
656,19.7,19.1,46.3,8.17747,6.23161
659,8.1,6.1,23.8,-3.810441,-4.234036
660,25.4,17.8,54.7,7.0963,4.817837
662,27.2,26,59.9,15.893,14.08587
664,27.9,27,60.9,16.53884,14.67872
667,18.4,15.3,43.6,4.324189,2.561987
669,21.6,18.6,48,8.02084,6.576106
670,8.3,8,20.9,-3.179343,-4.028809
674,20.5,16.7,54.6,5.788631,3.956685
676,23.1,22.3,57.1,11.97241,10.22323
677,31.3,27.5,69.5,16.59756,15.54333
678,27.5,27.1,63.8,16.37219,15.09501
680,23.2,18,50.9,6.423027,4.670409
681,23.2,18,50.9,6.423027,4.670409
682,22.6,16.8,51.6,5.459512,3.796324
683,10.2,8.4,24.5,-2.62997,-3.561896
685,26.9,24.7,55.3,13.45768,11.48932
687,24.2,22.6,55.8,12.78075,11.52587
688,15.4,13.4,38.3,3.662605,3.562343
690,20.7,15.9,59.2,5.21937,2.399519
692,17.1,13.9,47.2,3.683059,2.361081
693,20.3,17.9,52.4,7.525248,6.329984
694,9,22.2,0,11.66098,9.307577
698,24.4,20.3,62.2,9.558976,7.667891
703,25.4,23.9,60.7,12.95966,12.10215
704,16.2,17.2,38.8,7.661478,4.329062
705,27.6,26.4,58.9,15.5903,14.70746
707,21.2,19.5,52.5,8.783447,6.427317
714,23.5,21.9,47.8,11.30151,9.569112
715,27.6,25.6,45.9,13.78728,13.00413
716,17.5,14.6,43.4,2.767555,.8021103
717,18.8,13.7,48.5,1.577984,-.5108946
718,10.6,8.4,33.6,-1.987413,-4.350172
719,22.1,18,54.5,6.927605,6.63792
720,34,33.9,71.5,24.04965,22.73906
721,23,20,57.6,10.18209,9.688414
723,23.4,21.1,53.3,10.23645,10.02705
725,21.9,18.1,55,7.654202,6.790553
726,21.9,18.1,55,7.654202,6.790553
727,20.8,17.5,54.3,7.941273,7.248526
728,17.4,14.9,44.9,4.314194,2.642467
729,18.5,16.3,52,6.678501,5.965073
730,21.9,17.8,51.7,6.373629,4.430478
731,19.2,15.7,42,4.65983,2.757813
732,21.9,17.8,51.7,6.373629,4.430478
733,21.9,17.8,51.7,6.373629,4.430478
734,21.9,17.8,51.7,6.373629,4.430478
735,12.1,8.5,35,-1.766464,-3.501461
736,31.8,28.8,63.7,18.07812,17.34472
737,31.8,28.8,63.7,18.07812,17.34472
738,22.2,18.1,52.6,8.684176,7.143043
739,28.7,27,68.5,16.5518,17.12643
740,20,6.1,73,-4.90637,-6.837872
741,14.3,14.4,27.1,2.848881,-.2479359
742,12.1,8.5,35,-1.766464,-3.501461
744,10.6,8.4,33.6,-1.987413,-4.350172
745,23,20,57.6,10.18209,9.688414
751,22,18.6,57.2,7.348331,6.314333
754,22.5,21.4,53.7,10.98539,10.69522
757,26.1,26.2,61.4,16.84446,14.73674
765,9.1,8,20.2,-3.598766,-3.11102
766,22.1,19,64,8.649722,7.312691
767,22.2,21.7,49.3,10.9328,9.639882
769,26.1,24.8,60.6,14.82641,12.52178
771,19.7,19,46.2,8.585626,7.71424
772,17.7,14.9,54.6,4.780994,3.001896
773,23,18.2,59.3,7.861732,5.598254
775,7.6,5.3,27.8,-5.91949,-6.731483
777,19.7,18.7,52.8,9.021348,7.546455
778,21.6,21.5,51.4,12.60312,11.36429
780,16.1,13.1,47.8,3.546079,3.029053
782,26,22.3,64.8,11.50835,10.5742
783,18.2,14.7,50.4,3.917551,1.957464
784,21.6,19.5,52.5,9.260637,7.497792
785,21.6,19.5,52.5,9.260637,7.497792
786,35.2,38.2,39.5,25.71208,24.20757
791,11.3,8.9,32.2,-2.02237,-3.286171
792,11.3,8.9,32.2,-2.02237,-3.286171
794,20.9,17.7,58.5,7.348465,6.815181
795,21.7,18.7,55.8,8.809036,6.710683
901,20.9,14.8,53.6,3.111645,1.522201
902,20.9,14.8,53.6,3.111645,1.522201
906,0,0,,-12.33679,-41.79703
907,16.5,10.6,38.8,-.7127928,.1988245
908,16.5,10.6,38.8,-.7127928,.1988245
909,15.8,11,47.9,-.0032835,-1.674677
910,15.8,11,47.9,-.0032835,-1.674677
911,17.9,9.2,40,-1.647325,.6150848
912,14.1,11.1,39.5,.0792452,.2199293
913,15.2,16.4,42.4,5.940489,4.887275
914,17.9,9.2,40,-1.647325,.6150848
915,20.8,17.5,53.6,6.783803,5.694444
916,20.8,17.5,53.6,6.783803,5.694444
917,21.1,13.5,54.9,2.016858,.7455931
